Unnamed: 0,data,len,true,fuzzy,id,single,split,source
1368,"the mainly neoclassical housing stock of the old town is partly from the venetian period , partly of later construction , notably the <NUM> th century",23,[0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],978,,dev,short_description
2954,coral reefs cover almost <NUM>  of the site rsquo s marine area,10,[0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.2],[0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.2],1161,,dev,short_description
3671,"glacier clad peaks interspersed with extensive alpine meadows are surrounded by an extensive old growth forest , among which is the best example of intact and protected temperate rainforest in the pacific northwest",31,[0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.2],[0.  0.  0.  0.  0.  0.  1.  0.  1.  0.  0.2],151,,dev,short_description
3696,"thomas jefferson <NUM>  , author of the american declaration of independence and third president of the united states , was also a talented architect of neoclassical buildings",25,[1.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.2],[1.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.2],442,,dev,short_description
1849,"the layout and disposition of the small towns and the shaping of the surrounding landscape , overcoming the disadvantages of a steep , uneven terrain , encapsulate the continuous history of human settlement in this region over the past millennium . ",37,[0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.2],[0.  1.  0.  1.  1.  0.  0.  0.  0.  0.  0.2],826,,dev,short_description
2201,"in the <NUM> th and <NUM> th centuries , it was one of the centres for the propagation of islam",17,[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],116,,dev,short_description
733,"an exceptional biological diversity is found in the park , which is home to many threatened animal species , as well as many endemic plants . ",23,[0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.2],[0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.2],711,,dev,short_description
354,"the tholos has a narrow corridor and a round burial chamber , both decorated with murals representing thracian burial rituals and culture",21,[1.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[1.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],44,,dev,short_description
1241,wartburg castle blends superbly into its forest surroundings and is in many ways the ideal castle ,16,[0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.2],[0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.2],897,,dev,short_description
325,"rio de janeiro is also recognized for the artistic inspiration it has provided to musicians , landscapers and urbanists . ",18,[0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.2],[0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.2],1100,,dev,short_description
2133,"it retained its religious function during roman times , when the sanctuary of the heliopolitan jupiter attracted thousands of pilgrims",19,[1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],294,,dev,short_description
2567,"the origins of this system of irrigation may date back to ad <NUM>  , but archaeological evidence suggests that irrigation systems existed in this extremely arid area as early as <NUM>  bc",31,[0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.2],[0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.2],1207,,dev,short_description
1684,it became a centre of qajari arts and architecture of which it is an outstanding example and has remained a source of inspiration for iranian artists and architects to this day,31,[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],1422,,dev,short_description
1072,"the extension concerns the em neustadt em , new town , designed and built under the german administration <NUM>  <NUM>  ",15,[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],495,,dev,short_description
328,the franciscan complex is an example of the typical architecture of the religious order developed in north eastern brazil . ,18,[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],1272,,dev,short_description
14,the present archaeological site is a repository of ruins representing each period in the city rsquo s development . ,16,[0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],570,,dev,short_description
2246,"in the language of the mayan peoples who once inhabited this region , sian ka an means origin of the sky ",19,[0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.2],[0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.2],410,,dev,short_description
2573,"the city developed as a major port on the east coast of arabia between the <NUM> th and <NUM> th centuries ce , during the reign of the hormuz princes",27,[0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.2],1537,,dev,short_description
2254,"with its network of canals and artificial islands , it testifies to the efforts of the aztec people to build a habitat in the midst of an unfavourable environment",28,[0.  1.  1.  1.  1.  0.  0.  0.  0.  0.  0.2],[0.  1.  1.  1.  1.  0.  0.  0.  0.  0.  0.2],412,,dev,short_description
2479,"the site illustrates all the typical features associated with this technology dykes , reservoirs , pumping stations , administrative buildings and a series of beautifully preserved windmills . ",25,[1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],818,,dev,short_description
817,the colonial town of cienfuegos was founded in <NUM>  in the spanish territory but was initially settled by immigrants of french origin,22,[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],1202,,dev,short_description
294,"brasilia , a capital created em ex nihilo em in the centre of the country in <NUM>  , was a landmark in the history of town planning",23,[1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],[1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.2],445,,dev,short_description
435,lunenburg is the best surviving example of a planned british colonial settlement in north america,15,[0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.2],[0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.2],741,,dev,short_description
1443,"one masterpiece from the group stands out the temple of virupaksha , built c",14,[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],[0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.2],239,,dev,short_description
1527,the site is the only complete and unchanged islamic pre mughal city . ,11,[0.  0.  1.  1.  1.  1.  0.  0.  0.  0.  0.2],[0.  0.  1.  1.  1.  1.  0.  0.  0.  0.  0.2],1101,,dev,short_description
32,"its dramatic glacial landscapes of craggy cliffs and glaciers , with high open pastures and steep wooded valleys , covers an area of <NUM>  , <NUM>  ha , <NUM>  of the total area of the principality",31,[0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.2],[0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.2],1160,,dev,short_description
