F1	F1_diff	Precision	Precision_diff	Recall	Recall_diff	split	class
0,581818182	0	0,444444444	0	0,842105263	0	test	1
0,586666667	0,011972789	0,594594595	0	0,578947368	0,023792358	test	2
0,524137931	-0,010624418	0,603174603	0	0,463414634	-0,016355811	test	3
0,528497409	0,002114836	0,62962963	0,012345679	0,455357143	-0,00318323	test	4
0,304347826	0	0,21875	0	0,5	0	test	5
0,567164179	-0,027481639	0,441860465	-0,046511628	0,791666667	0,058333333	test	6
0,75	-0,002747253	0,785714286	0,023809524	0,717391304	-0,023513753	test	7
0,62745098	-0,02745098	0,533333333	-0,033333333	0,761904762	-0,011904762	test	8
0,636363636	0	0,595744681	0	0,682926829	0	test	9
0,780141844	-0,008713273	0,859375	-0,015625	0,714285714	-0,003759398	test	10
0,44	-0,04	0,314285714	-0,028571429	0,733333333	-0,066666667	val	1
0,68	0,000272109	0,772727273	-0,015151515	0,607142857	0,010141093	val	2
0,662790698	0	0,721518987	0	0,612903226	0	val	3
0,61452514	0,015909643	0,670731707	0,036585366	0,567010309	0,001617142	val	4
0,486486486	0,013513514	0,36	0	0,75	0,068181818	val	5
0,553846154	-0,030769231	0,45	-0,025	0,72	-0,04	val	6
0,755555556	-0,039766082	0,871794872	0	0,666666667	-0,05952381	val	7
0,6875	-0,010576923	0,55	0	0,916666667	-0,036666667	val	8
0,578947368	-0,003604903	0,55	-0,025	0,611111111	0,025252525	val	9
0,85106383	-0,004348501	0,909090909	-0,03030303	0,8	0,016901408	val	10
0,957613815	0,001633834	0,924242424	0,003030303	0,993485342	2,11515E-05	train	1
0,966507177	0,003189793	0,964968153	0,003184713	0,968051118	0,003194888	train	2
0,966360856	0,002317524	0,979844961	0,003100775	0,953242836	0,001576442	train	3
0,953095685	0,000654315	0,98961039	0,001298701	0,919179735	9,73738E-05	train	4
0,884097035	-0,006048255	0,792270531	-0,009661836	1	0	train	5
0,979591837	0	0,965944272	0	0,993630573	0	train	6
