,,precision,recall,F1
test,Criteria i,0.5,0.75,0.6
test,Criteria ii,0.5945945945945946,0.7096774193548387,0.6470588235294118
test,Criteria iii,0.6190476190476191,0.5571428571428572,0.5864661654135339
test,Criteria iv,0.6172839506172839,0.4807692307692308,0.5405405405405406
test,Criteria v,0.34375,0.44,0.3859649122807018
test,Criteria vi,0.4883720930232558,0.6176470588235294,0.5454545454545455
test,Criteria vii,0.7380952380952381,0.5535714285714286,0.6326530612244898
test,Criteria viii,0.6,0.6923076923076923,0.6428571428571429
test,Criteria ix,0.48936170212765956,0.6571428571428571,0.5609756097560975
test,Criteria x,0.859375,0.7236842105263158,0.7857142857142857
val,Criteria i,0.42857142857142855,0.6,0.5
val,Criteria ii,0.5606060606060606,0.5873015873015873,0.5736434108527131
val,Criteria iii,0.6455696202531646,0.6891891891891891,0.6666666666666666
val,Criteria iv,0.5853658536585366,0.5274725274725275,0.5549132947976879
val,Criteria v,0.36,0.47368421052631576,0.40909090909090906
val,Criteria vi,0.625,0.5102040816326531,0.5617977528089888
val,Criteria vii,0.8461538461538461,0.6346153846153846,0.7252747252747251
val,Criteria viii,0.7,0.8,0.7466666666666666
val,Criteria ix,0.475,0.6551724137931034,0.5507246376811594
val,Criteria x,0.8484848484848485,0.7466666666666667,0.7943262411347518
train,Criteria i,0.63125,0.7292418772563177,0.6767169179229481
train,Criteria ii,0.6556291390728477,0.6898954703832753,0.6723259762308997
train,Criteria iii,0.6145339652448657,0.6946428571428571,0.6521374685666387
train,Criteria iv,0.72,0.6129398410896708,0.6621704475781729
train,Criteria v,0.5172413793103449,0.6818181818181818,0.5882352941176471
train,Criteria vi,0.6825396825396826,0.6456456456456456,0.6635802469135803
train,Criteria vii,0.8206521739130435,0.727710843373494,0.7713920817369093
train,Criteria viii,0.8221343873517787,0.8,0.8109161793372321
train,Criteria ix,0.6169014084507042,0.8295454545454546,0.7075928917609047
train,Criteria x,0.9274047186932849,0.805993690851735,0.8624472573839662
