,,precision,recall,F1
test,Criteria i,0.5555555555555556,0.8,0.6557377049180328
test,Criteria ii,0.6216216216216216,0.647887323943662,0.6344827586206897
test,Criteria iii,0.6349206349206349,0.5405405405405406,0.5839416058394161
test,Criteria iv,0.5555555555555556,0.4838709677419355,0.5172413793103449
test,Criteria v,0.375,0.4,0.38709677419354843
test,Criteria vi,0.5116279069767442,0.6875,0.5866666666666667
test,Criteria vii,0.7142857142857143,0.6521739130434783,0.6818181818181819
test,Criteria viii,0.6,0.6923076923076923,0.6428571428571429
test,Criteria ix,0.5957446808510638,0.6511627906976745,0.6222222222222222
test,Criteria x,0.84375,0.75,0.7941176470588235
val,Criteria i,0.4,0.6363636363636364,0.4912280701754386
val,Criteria ii,0.5909090909090909,0.5571428571428572,0.5735294117647058
val,Criteria iii,0.6455696202531646,0.6538461538461539,0.6496815286624203
val,Criteria iv,0.5487804878048781,0.5294117647058824,0.5389221556886229
val,Criteria v,0.36,0.391304347826087,0.37499999999999994
val,Criteria vi,0.7,0.5490196078431373,0.6153846153846154
val,Criteria vii,0.7948717948717948,0.7209302325581395,0.7560975609756098
val,Criteria viii,0.65,0.8387096774193549,0.7323943661971831
val,Criteria ix,0.55,0.6470588235294118,0.5945945945945946
val,Criteria x,0.8636363636363636,0.76,0.8085106382978724
train,Criteria i,0.6125,0.7368421052631579,0.6689419795221844
train,Criteria ii,0.6655629139072847,0.6557911908646004,0.6606409202958093
train,Criteria iii,0.6129541864139021,0.6879432624113475,0.6482873851294904
train,Criteria iv,0.7053333333333334,0.6129779837775203,0.6559206447613144
train,Criteria v,0.5763546798029556,0.65,0.6109660574412533
train,Criteria vi,0.6634920634920635,0.6450617283950617,0.6541471048513302
train,Criteria vii,0.7527173913043478,0.7936962750716332,0.7726638772663877
train,Criteria viii,0.8023715415019763,0.8252032520325203,0.8136272545090181
train,Criteria ix,0.6816901408450704,0.7538940809968847,0.7159763313609467
train,Criteria x,0.9092558983666061,0.8003194888178914,0.8513169073916739
