,,precision,recall,F1
test,Criteria i,0.5277777777777778,0.8260869565217391,0.6440677966101694
test,Criteria ii,0.7162162162162162,0.7162162162162162,0.7162162162162162
test,Criteria iii,0.6349206349206349,0.6153846153846154,0.625
test,Criteria iv,0.691358024691358,0.509090909090909,0.5863874345549738
test,Criteria v,0.375,0.5714285714285714,0.4528301886792453
test,Criteria vi,0.6046511627906976,0.8125,0.6933333333333334
test,Criteria vii,0.6904761904761905,0.8055555555555556,0.7435897435897436
test,Criteria viii,0.8333333333333334,0.7142857142857143,0.7692307692307692
test,Criteria ix,0.6382978723404256,0.6976744186046512,0.6666666666666666
test,Criteria x,0.875,0.7671232876712328,0.8175182481751825
val,Criteria i,0.42857142857142855,0.6521739130434783,0.5172413793103448
val,Criteria ii,0.7878787878787878,0.7428571428571429,0.7647058823529412
val,Criteria iii,0.7088607594936709,0.6436781609195402,0.674698795180723
val,Criteria iv,0.6951219512195121,0.6333333333333333,0.6627906976744186
val,Criteria v,0.48,0.7058823529411765,0.5714285714285713
val,Criteria vi,0.65,0.7027027027027027,0.6753246753246753
val,Criteria vii,0.8974358974358975,0.7608695652173914,0.8235294117647058
val,Criteria viii,0.775,0.8857142857142857,0.8266666666666667
val,Criteria ix,0.5,0.7142857142857143,0.588235294117647
val,Criteria x,0.9393939393939394,0.7848101265822784,0.8551724137931035
train,Criteria i,0.8333333333333334,0.9786476868327402,0.9001636661211129
train,Criteria ii,0.9570063694267515,0.9434850863422292,0.950197628458498
train,Criteria iii,0.8868217054263566,0.9392446633825944,0.912280701754386
train,Criteria iv,0.9441558441558442,0.8583234946871311,0.8991960420531849
train,Criteria v,0.8309178743961353,0.9247311827956989,0.8753180661577609
train,Criteria vi,0.9721362229102167,0.9208211143695014,0.9457831325301205
train,Criteria vii,0.93717277486911,0.9701897018970189,0.9533954727030627
train,Criteria viii,0.9692307692307692,0.9581749049429658,0.9636711281070747
train,Criteria ix,0.8807588075880759,0.975975975975976,0.925925925925926
train,Criteria x,0.9946996466431095,0.9169381107491856,0.9542372881355933
