,,precision,recall,F1
test,Criteria i,0.5833333333333334,0.8076923076923077,0.6774193548387097
test,Criteria ii,0.7027027027027027,0.6933333333333334,0.6979865771812082
test,Criteria iii,0.5714285714285714,0.5538461538461539,0.5625
test,Criteria iv,0.6419753086419753,0.5306122448979592,0.5810055865921788
test,Criteria v,0.46875,0.5172413793103449,0.4918032786885246
test,Criteria vi,0.627906976744186,0.7714285714285715,0.6923076923076923
test,Criteria vii,0.6666666666666666,0.8235294117647058,0.7368421052631577
test,Criteria viii,0.8666666666666667,0.7222222222222222,0.7878787878787877
test,Criteria ix,0.6808510638297872,0.6956521739130435,0.6881720430107526
test,Criteria x,0.84375,0.7941176470588235,0.8181818181818182
val,Criteria i,0.45714285714285713,0.6153846153846154,0.5245901639344263
val,Criteria ii,0.803030303030303,0.726027397260274,0.7625899280575539
val,Criteria iii,0.6962025316455697,0.6626506024096386,0.6790123456790125
val,Criteria iv,0.6585365853658537,0.6206896551724138,0.6390532544378699
val,Criteria v,0.52,0.65,0.5777777777777778
val,Criteria vi,0.7,0.7777777777777778,0.7368421052631577
val,Criteria vii,0.8461538461538461,0.7333333333333333,0.7857142857142856
val,Criteria viii,0.775,0.8857142857142857,0.8266666666666667
val,Criteria ix,0.6,0.6857142857142857,0.64
val,Criteria x,0.9090909090909091,0.8333333333333334,0.8695652173913043
train,Criteria i,0.9757575757575757,1.0,0.9877300613496933
train,Criteria ii,0.9904458598726115,0.9841772151898734,0.9873015873015873
train,Criteria iii,0.993798449612403,0.9968895800933126,0.9953416149068323
train,Criteria iv,0.9974025974025974,0.9896907216494846,0.9935316946959898
train,Criteria v,0.9806763285024155,0.9902439024390244,0.9854368932038836
train,Criteria vi,1.0,0.9938461538461538,0.9969135802469136
train,Criteria vii,0.9895287958115183,1.0,0.9947368421052631
train,Criteria viii,1.0,0.9961685823754789,0.9980806142034548
train,Criteria ix,0.991869918699187,0.991869918699187,0.991869918699187
train,Criteria x,0.9982332155477032,0.9929701230228472,0.9955947136563877
