,,precision,recall,F1
test,Criteria i,0.5,0.6923076923076923,0.5806451612903226
test,Criteria ii,0.6216216216216216,0.6666666666666666,0.6433566433566433
test,Criteria iii,0.5873015873015873,0.49333333333333335,0.5362318840579711
test,Criteria iv,0.5802469135802469,0.47474747474747475,0.5222222222222221
test,Criteria v,0.375,0.41379310344827586,0.3934426229508197
test,Criteria vi,0.46511627906976744,0.6666666666666666,0.547945205479452
test,Criteria vii,0.7142857142857143,0.7317073170731707,0.7228915662650603
test,Criteria viii,0.7333333333333333,0.7333333333333333,0.7333333333333333
test,Criteria ix,0.6808510638297872,0.6956521739130435,0.6881720430107526
test,Criteria x,0.84375,0.8059701492537313,0.8244274809160305
val,Criteria i,0.4,0.56,0.4666666666666667
val,Criteria ii,0.7121212121212122,0.6911764705882353,0.7014925373134329
val,Criteria iii,0.6329113924050633,0.6097560975609756,0.6211180124223603
val,Criteria iv,0.5853658536585366,0.5647058823529412,0.5748502994011976
val,Criteria v,0.44,0.44,0.44
val,Criteria vi,0.575,0.5348837209302325,0.5542168674698795
val,Criteria vii,0.8205128205128205,0.7111111111111111,0.7619047619047619
val,Criteria viii,0.65,0.8125,0.7222222222222223
val,Criteria ix,0.575,0.6571428571428571,0.6133333333333333
val,Criteria x,0.8939393939393939,0.8194444444444444,0.855072463768116
train,Criteria i,0.8545454545454545,0.9215686274509803,0.8867924528301887
train,Criteria ii,0.8805732484076433,0.8777777777777778,0.8791732909379968
train,Criteria iii,0.8682170542635659,0.8874801901743264,0.877742946708464
train,Criteria iv,0.8805194805194805,0.8071428571428572,0.8422360248447205
train,Criteria v,0.748792270531401,0.8516483516483516,0.7969151670951157
train,Criteria vi,0.891640866873065,0.9085173501577287,0.9
train,Criteria vii,0.9293193717277487,0.9517426273458445,0.9403973509933775
train,Criteria viii,0.9307692307692308,0.937984496124031,0.9343629343629343
train,Criteria ix,0.8563685636856369,0.8977272727272727,0.8765603328710124
train,Criteria x,0.9487632508833922,0.9086294416243654,0.9282627484874675
