,,precision,recall,F1
test,Criteria i,0.5,0.72,0.5901639344262295
test,Criteria ii,0.6891891891891891,0.6219512195121951,0.6538461538461539
test,Criteria iii,0.5873015873015873,0.5522388059701493,0.5692307692307692
test,Criteria iv,0.5061728395061729,0.5061728395061729,0.5061728395061729
test,Criteria v,0.40625,0.4482758620689655,0.4262295081967213
test,Criteria vi,0.5813953488372093,0.5555555555555556,0.5681818181818183
test,Criteria vii,0.7380952380952381,0.6739130434782609,0.7045454545454546
test,Criteria viii,0.6,0.782608695652174,0.6792452830188679
test,Criteria ix,0.6595744680851063,0.6888888888888889,0.6739130434782609
test,Criteria x,0.875,0.8115942028985508,0.8421052631578948
val,Criteria i,0.42857142857142855,0.6521739130434783,0.5172413793103448
val,Criteria ii,0.7424242424242424,0.620253164556962,0.6758620689655171
val,Criteria iii,0.5949367088607594,0.6438356164383562,0.618421052631579
val,Criteria iv,0.5487804878048781,0.6081081081081081,0.576923076923077
val,Criteria v,0.36,0.4090909090909091,0.3829787234042554
val,Criteria vi,0.725,0.5178571428571429,0.6041666666666666
val,Criteria vii,0.8205128205128205,0.6666666666666666,0.7356321839080459
val,Criteria viii,0.625,0.8620689655172413,0.7246376811594203
val,Criteria ix,0.525,0.6363636363636364,0.5753424657534246
val,Criteria x,0.8939393939393939,0.7866666666666666,0.8368794326241135
train,Criteria i,0.7575757575757576,0.8532423208191127,0.8025682182985554
train,Criteria ii,0.8359872611464968,0.7291666666666666,0.7789317507418397
train,Criteria iii,0.7069767441860465,0.8275862068965517,0.7625418060200669
train,Criteria iv,0.7337662337662337,0.7463672391017173,0.7400130975769483
train,Criteria v,0.6714975845410628,0.8081395348837209,0.733509234828496
train,Criteria vi,0.8390092879256966,0.6724565756823822,0.7465564738292012
train,Criteria vii,0.900523560209424,0.8289156626506025,0.863237139272271
train,Criteria viii,0.8153846153846154,0.9137931034482759,0.8617886178861788
train,Criteria ix,0.7506775067750677,0.8147058823529412,0.7813822284908322
train,Criteria x,0.9151943462897526,0.8676716917922948,0.8907996560619089
