,,precision,recall,F1
test,Criteria i,0.4444444444444444,0.8421052631578947,0.5818181818181818
test,Criteria ii,0.5945945945945946,0.6027397260273972,0.598639455782313
test,Criteria iii,0.6031746031746031,0.4470588235294118,0.5135135135135135
test,Criteria iv,0.6419753086419753,0.45217391304347826,0.5306122448979591
test,Criteria v,0.21875,0.5,0.30434782608695654
test,Criteria vi,0.3953488372093023,0.85,0.5396825396825397
test,Criteria vii,0.8095238095238095,0.6938775510204082,0.7472527472527472
test,Criteria viii,0.5,0.75,0.6
test,Criteria ix,0.5957446808510638,0.6829268292682927,0.6363636363636364
test,Criteria x,0.84375,0.7105263157894737,0.7714285714285714
val,Criteria i,0.2857142857142857,0.6666666666666666,0.4
val,Criteria ii,0.7575757575757576,0.6172839506172839,0.6802721088435375
val,Criteria iii,0.7215189873417721,0.6129032258064516,0.6627906976744186
val,Criteria iv,0.7073170731707317,0.5686274509803921,0.6304347826086957
val,Criteria v,0.36,0.8181818181818182,0.5
val,Criteria vi,0.425,0.68,0.5230769230769231
val,Criteria vii,0.8717948717948718,0.6071428571428571,0.7157894736842105
val,Criteria viii,0.55,0.88,0.676923076923077
val,Criteria ix,0.525,0.6363636363636364,0.5753424657534246
val,Criteria x,0.8787878787878788,0.8169014084507042,0.8467153284671534
train,Criteria i,0.9272727272727272,0.9935064935064936,0.9592476489028213
train,Criteria ii,0.9681528662420382,0.9712460063897763,0.9696969696969697
train,Criteria iii,0.9829457364341085,0.9548192771084337,0.9686783804430863
train,Criteria iv,0.990909090909091,0.9192771084337349,0.9537500000000001
train,Criteria v,0.782608695652174,1.0,0.878048780487805
train,Criteria vi,0.9659442724458205,0.9936305732484076,0.979591836734694
train,Criteria vii,0.9738219895287958,0.9841269841269841,0.9789473684210526
train,Criteria viii,0.9769230769230769,0.996078431372549,0.9864077669902912
train,Criteria ix,0.9512195121951219,0.9804469273743017,0.9656121045392022
train,Criteria x,0.9946996466431095,0.9623931623931624,0.9782797567332754
