,,precision,recall,F1
test,Criteria i,0.5833333333333334,0.6774193548387096,0.626865671641791
test,Criteria ii,0.6621621621621622,0.7424242424242424,0.7000000000000001
test,Criteria iii,0.6984126984126984,0.5365853658536586,0.6068965517241379
test,Criteria iv,0.6296296296296297,0.5425531914893617,0.5828571428571429
test,Criteria v,0.4375,0.5384615384615384,0.4827586206896552
test,Criteria vi,0.46511627906976744,0.7142857142857143,0.5633802816901409
test,Criteria vii,0.7619047619047619,0.7441860465116279,0.7529411764705882
test,Criteria viii,0.7666666666666667,0.7931034482758621,0.7796610169491527
test,Criteria ix,0.6808510638297872,0.7111111111111111,0.6956521739130436
test,Criteria x,0.84375,0.7941176470588235,0.8181818181818182
val,Criteria i,0.5142857142857142,0.6428571428571429,0.5714285714285714
val,Criteria ii,0.7424242424242424,0.7313432835820896,0.736842105263158
val,Criteria iii,0.6329113924050633,0.6172839506172839,0.6250000000000001
val,Criteria iv,0.6585365853658537,0.627906976744186,0.6428571428571429
val,Criteria v,0.56,0.6086956521739131,0.5833333333333334
val,Criteria vi,0.6,0.6486486486486487,0.6233766233766234
val,Criteria vii,0.8717948717948718,0.7555555555555555,0.8095238095238095
val,Criteria viii,0.725,0.8285714285714286,0.7733333333333333
val,Criteria ix,0.6,0.6666666666666666,0.631578947368421
val,Criteria x,0.8939393939393939,0.7972972972972973,0.8428571428571429
train,Criteria i,0.8303030303030303,0.8867313915857605,0.8575899843505477
train,Criteria ii,0.7945859872611465,0.8457627118644068,0.8193760262725779
train,Criteria iii,0.8093023255813954,0.8080495356037152,0.8086754453911696
train,Criteria iv,0.8220779220779221,0.7334878331402086,0.7752602571953459
train,Criteria v,0.7729468599033816,0.8333333333333334,0.8020050125313283
train,Criteria vi,0.8421052631578947,0.8918032786885246,0.8662420382165604
train,Criteria vii,0.918848167539267,0.918848167539267,0.918848167539267
train,Criteria viii,0.9230769230769231,0.963855421686747,0.9430255402750491
train,Criteria ix,0.8238482384823849,0.8914956011730205,0.856338028169014
train,Criteria x,0.9434628975265018,0.8855721393034826,0.9136013686911891
