,,precision,recall,F1
test,Criteria i,0.5277777777777778,0.7037037037037037,0.6031746031746033
test,Criteria ii,0.6891891891891891,0.7727272727272727,0.7285714285714284
test,Criteria iii,0.6825396825396826,0.581081081081081,0.6277372262773723
test,Criteria iv,0.654320987654321,0.5145631067961165,0.5760869565217391
test,Criteria v,0.46875,0.5769230769230769,0.5172413793103449
test,Criteria vi,0.5116279069767442,0.7333333333333333,0.6027397260273971
test,Criteria vii,0.7857142857142857,0.7674418604651163,0.7764705882352941
test,Criteria viii,0.8,0.75,0.7741935483870969
test,Criteria ix,0.6595744680851063,0.7045454545454546,0.6813186813186813
test,Criteria x,0.828125,0.7910447761194029,0.8091603053435115
val,Criteria i,0.4857142857142857,0.7083333333333334,0.576271186440678
val,Criteria ii,0.7272727272727273,0.7741935483870968,0.7500000000000001
val,Criteria iii,0.6582278481012658,0.611764705882353,0.6341463414634146
val,Criteria iv,0.6463414634146342,0.6091954022988506,0.6272189349112427
val,Criteria v,0.56,0.5185185185185185,0.5384615384615384
val,Criteria vi,0.65,0.6666666666666666,0.6582278481012659
val,Criteria vii,0.8461538461538461,0.75,0.7951807228915662
val,Criteria viii,0.725,0.8787878787878788,0.7945205479452054
val,Criteria ix,0.625,0.6944444444444444,0.6578947368421053
val,Criteria x,0.9090909090909091,0.8,0.8510638297872342
train,Criteria i,0.796969696969697,0.9006849315068494,0.8456591639871384
train,Criteria ii,0.7993630573248408,0.8551959114139693,0.8263374485596708
train,Criteria iii,0.8186046511627907,0.8173374613003096,0.8179705654531372
train,Criteria iv,0.8402597402597403,0.7360637087599545,0.7847180109157066
train,Criteria v,0.8115942028985508,0.8571428571428571,0.8337468982630272
train,Criteria vi,0.8421052631578947,0.8918032786885246,0.8662420382165604
train,Criteria vii,0.9136125654450262,0.9136125654450262,0.9136125654450262
train,Criteria viii,0.9,0.9590163934426229,0.9285714285714285
train,Criteria ix,0.7994579945799458,0.8858858858858859,0.8404558404558404
train,Criteria x,0.9469964664310954,0.8701298701298701,0.9069373942470389
